action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,applicant_race_name_1,applicant_race_name_2,applicant_race_name_3,applicant_race_name_4,applicant_race_name_5,applicant_sex,applicant_sex_name,application_date_indicator,as_of_year,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,co_applicant_race_name_1,co_applicant_race_name_2,co_applicant_race_name_3,co_applicant_race_name_4,co_applicant_race_name_5,co_applicant_sex,co_applicant_sex_name,county_code,county_name,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_name_1,denial_reason_name_2,denial_reason_name_3,edit_status,edit_status_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,msamd,msamd_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,respondent_id,sequence_number,state_code,state_abbr,state_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,rate_spread,tract_to_msamd_income
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,54,5,,,,,White,,,,,1,Male,0,2007,0512.02,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,1,Fannie Mae (FNMA),3027509990,0013352,37,NC,North Carolina,45700,49,1326,1070,20.1299991607666,3427,,117.68000030517578
1,Loan originated,7,HUD,Department of Housing and Urban Development,1,Hispanic or Latino,39,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,1,Male,0,2007,0512.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,2,Secured by a subordinate lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013359,37,NC,North Carolina,45700,28,1828,1397,24.270000457763672,5628,,116.0
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,43,5,,,,,White,,,,,1,Male,0,2007,0512.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,1,Fannie Mae (FNMA),3027509990,0013357,37,NC,North Carolina,45700,66,1828,1397,24.270000457763672,5628,,116.0
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",51,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2007,0515.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,7,,,Credit application incomplete,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013374,37,NC,North Carolina,45700,60,2787,1972,14.229999542236328,6668,,102.91999816894531
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,30,5,,,,,White,,,,,1,Male,0,2007,0512.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013360,37,NC,North Carolina,45700,143,1828,1397,24.270000457763672,5628,,116.0
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,100,5,,,,,White,,,,,2,Female,0,2007,0511.02,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,159,Rowan County,4,,,Collateral,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013351,37,NC,North Carolina,45700,202,1505,1232,8.0,3737,,103.12999725341797
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",21,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2007,0512.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,1,Fannie Mae (FNMA),3027509990,0013354,37,NC,North Carolina,45700,42,1828,1397,24.270000457763672,5628,,116.0
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,1,Hispanic or Latino,30,5,,,,,White,,,,,1,Male,0,2007,0512.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,1,,,Debt-to-income ratio,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013363,37,NC,North Carolina,45700,69,1828,1397,24.270000457763672,5628,,116.0
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,16,5,,,,,White,,,,,1,Male,0,2007,0512.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,5,,,"Insufficient cash (downpayment, closing costs)",,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013364,37,NC,North Carolina,45700,55,1828,1397,24.270000457763672,5628,,116.0
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,26,5,,,,,White,,,,,1,Male,0,2007,0519.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,4,,,Collateral,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013387,37,NC,North Carolina,45700,69,2445,1854,25.68000030517578,6321,,116.20999908447266
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,25,5,,,,,White,,,,,1,Male,0,2007,0512.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,3,,,Credit history,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013365,37,NC,North Carolina,45700,73,1828,1397,24.270000457763672,5628,,116.0
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",35,5,,,,,White,,,,,1,Male,0,2007,0512.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,3,VA-guaranteed,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,2,Ginnie Mae (GNMA),3027509990,0013353,37,NC,North Carolina,45700,87,1326,1070,20.1299991607666,3427,,117.68000030517578
1,Loan originated,7,HUD,Department of Housing and Urban Development,1,Hispanic or Latino,43,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,1,Male,0,2007,0512.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013361,37,NC,North Carolina,45700,54,1828,1397,24.270000457763672,5628,,116.0
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,9,5,,,,,White,,,,,2,Female,0,2007,0518.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,1,Fannie Mae (FNMA),3027509990,0013381,37,NC,North Carolina,45700,43,2950,2422,6.449999809265137,7709,04.29,111.52999877929688
6,Loan purchased by the institution,7,HUD,Department of Housing and Urban Development,4,Not applicable,80,7,,,,,Not applicable,,,,,4,Not applicable,2,2007,0513.03,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,3,VA-guaranteed,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),3027509990,0013368,37,NC,North Carolina,45700,169,1562,1309,30.309999465942383,4859,,117.56999969482422
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,29,5,,,,,White,,,,,2,Female,0,2007,0519.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,1,Fannie Mae (FNMA),3027509990,0013391,37,NC,North Carolina,45700,76,1673,1342,14.649999618530273,4267,,115.81999969482422
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",34,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2007,0517.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,1,,,Debt-to-income ratio,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013379,37,NC,North Carolina,45700,105,2842,2207,13.970000267028809,7430,,103.31999969482422
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,70,5,,,,,White,,,,,1,Male,0,2007,0512.03,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,2,Secured by a subordinate lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013356,37,NC,North Carolina,45700,27,1828,1397,24.270000457763672,5628,,116.0
2,Application approved but not accepted,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,47,5,,,,,White,,,,,1,Male,0,2007,0512.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013362,37,NC,North Carolina,45700,76,1828,1397,24.270000457763672,5628,,116.0
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,103,5,,,,,White,,,,,1,Male,0,2007,0519.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,2,Not owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013383,37,NC,North Carolina,45700,153,2445,1854,25.68000030517578,6321,,116.20999908447266
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,44,5,,,,,White,,,,,1,Male,0,2007,0517.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013377,37,NC,North Carolina,45700,76,2842,2207,13.970000267028809,7430,03.90,103.31999969482422
2,Application approved but not accepted,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,58,5,,,,,White,,,,,2,Female,0,2007,9602.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,161,Rutherford County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013398,37,NC,North Carolina,45700,146,2684,2101,10.449999809265137,6327,,90.61000061035156
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,103,5,,,,,White,,,,,1,Male,0,2007,0519.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,2,Secured by a subordinate lien,1,Home purchase,1,Conventional,,,2,Not owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013384,37,NC,North Carolina,45700,29,2445,1854,25.68000030517578,6321,,116.20999908447266
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,21,5,,,,,White,,,,,2,Female,0,2007,0514.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013371,37,NC,North Carolina,45700,86,2765,2037,11.229999542236328,6259,,94.62999725341797
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",123,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2007,0512.04,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013366,37,NC,North Carolina,45700,210,1054,863,21.3799991607666,3134,,127.73999786376953
6,Loan purchased by the institution,4,OTS,Office of Thrift Supervision,2,Not Hispanic or Latino,,5,,,,,White,,,,,2,Female,2,2007,9516.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,45,Garfield County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,0000006069,0002897,8,CO,Colorado,52400,500,1266,884,19.219999313354492,3574,,123.2300033569336
2,Application approved but not accepted,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,46,5,,,,,White,,,,,1,Male,0,2007,9601.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,161,Rutherford County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,1,Preapproval was requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013394,37,NC,North Carolina,45700,105,2524,1905,3.75,5968,,95.37000274658203
6,Loan purchased by the institution,4,OTS,Office of Thrift Supervision,4,Not applicable,,7,,,,,Not applicable,,,,,4,Not applicable,2,2007,4086.00,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,59,Nassau County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,35004,"Nassau, Suffolk - NY",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",0000003970,0174127,36,NY,New York,93800,374,1459,1341,11.119999885559082,4497,,97.11000061035156
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,45,5,,,,,White,,,,,1,Male,0,2007,0519.01,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,1,Fannie Mae (FNMA),3027509990,0013386,37,NC,North Carolina,45700,57,2445,1854,25.68000030517578,6321,04.10,116.20999908447266
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",64,5,,,,,White,,,,,2,Female,0,2007,0517.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013375,37,NC,North Carolina,45700,238,2842,2207,13.970000267028809,7430,05.43,103.31999969482422
6,Loan purchased by the institution,7,HUD,Department of Housing and Urban Development,4,Not applicable,54,7,,,,,Not applicable,,,,,4,Not applicable,2,2007,0513.03,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,3,VA-guaranteed,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),3027509990,0013369,37,NC,North Carolina,45700,163,1562,1309,30.309999465942383,4859,,117.56999969482422
6,Loan purchased by the institution,1,OCC,Office of the Comptroller of the Currency,4,Not applicable,77,7,,,,,Not applicable,,,,,4,Not applicable,2,2007,1841.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,35,Cuyahoga County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,17460,"Cleveland, Elyria, Mentor - OH",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,13-3222578,0226435,39,OH,Ohio,60700,24,1443,1375,10.819999694824219,4355,,195.55999755859375
1,Loan originated,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,54,5,,,,,White,,,,,1,Male,0,2008,3006.00,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,89,Monroe County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),0000023743,0003337,42,PA,Pennsylvania,51500,95,1640,1042,16.420000076293945,4330,,100.66000366210938
