action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,applicant_race_name_1,applicant_race_name_2,applicant_race_name_3,applicant_race_name_4,applicant_race_name_5,applicant_sex,applicant_sex_name,application_date_indicator,as_of_year,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,co_applicant_race_name_1,co_applicant_race_name_2,co_applicant_race_name_3,co_applicant_race_name_4,co_applicant_race_name_5,co_applicant_sex,co_applicant_sex_name,county_code,county_name,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_name_1,denial_reason_name_2,denial_reason_name_3,edit_status,edit_status_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,msamd,msamd_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,respondent_id,sequence_number,state_code,state_abbr,state_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,rate_spread,tract_to_msamd_income
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,90,5,,,,,White,,,,,2,Female,0,2008,0023.07,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,453,Travis County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,12420,"Austin, Round Rock - TX",2,Not owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),7632300003,0003386,48,TX,Texas,69100,94,1111,413,61.09000015258789,5320,,49.88999938964844
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,54,5,,,,,White,,,,,2,Female,0,2007,0519.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,4,,,Collateral,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013388,37,NC,North Carolina,45700,151,2445,1854,25.68000030517578,6321,,116.20999908447266
1,Loan originated,4,OTS,Office of Thrift Supervision,1,Hispanic or Latino,43,5,,,,,White,,,,,1,Male,0,2007,1615.01,1,Hispanic or Latino,5,,,,,White,,,,,2,Female,29,Bexar County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,41700,San Antonio - TX,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000008412,0169961,48,TX,Texas,53700,70,1958,1118,78.73999786376953,7078,03.91,63.63999938964844
2,Application approved but not accepted,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,180,5,,,,,White,,,,,1,Male,0,2007,0514.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,2,Not owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013372,37,NC,North Carolina,45700,54,2765,2037,11.229999542236328,6259,,94.62999725341797
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",23,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2007,9602.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,161,Rutherford County,3,,,Credit history,,,,,2,Not a HOEPA loan,1,Secured by a first lien,2,Home improvement,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013399,37,NC,North Carolina,45700,90,2684,2101,10.449999809265137,6327,,90.61000061035156
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,54,5,,,,,White,,,,,2,Female,0,2007,0519.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,4,,,Collateral,,,,,2,Not a HOEPA loan,2,Secured by a subordinate lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013389,37,NC,North Carolina,45700,38,2445,1854,25.68000030517578,6321,,116.20999908447266
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",55,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2007,0101.00,3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",165,Scotland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013424,37,NC,North Carolina,45700,93,3162,2175,30.200000762939453,8361,,127.6500015258789
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,27,3,,,,,Black or African American,,,,,1,Male,0,2007,9601.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,161,Rutherford County,5,3,,"Insufficient cash (downpayment, closing costs)",Credit history,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013395,37,NC,North Carolina,45700,65,2524,1905,3.75,5968,,95.37000274658203
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",56,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,1,Male,0,2007,0517.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013378,37,NC,North Carolina,45700,46,2842,2207,13.970000267028809,7430,03.17,103.31999969482422
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",42,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2007,0514.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,4,,,Collateral,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013373,37,NC,North Carolina,45700,81,2765,2037,11.229999542236328,6259,,94.62999725341797
1,Loan originated,7,HUD,Department of Housing and Urban Development,1,Hispanic or Latino,16,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,1,Male,0,2007,9708.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,163,Sampson County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,1,Fannie Mae (FNMA),3027509990,0013413,37,NC,North Carolina,45700,44,2618,1677,49.650001525878906,6637,,84.44999694824219
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,35,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,2,Female,0,2007,0519.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,5,9,,"Insufficient cash (downpayment, closing costs)",Other,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013390,37,NC,North Carolina,45700,75,2445,1854,25.68000030517578,6321,,116.20999908447266
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,62,5,,,,,White,,,,,1,Male,0,2007,0101.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,165,Scotland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013426,37,NC,North Carolina,45700,120,3162,2175,30.200000762939453,8361,,127.6500015258789
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,50,5,,,,,White,,,,,2,Female,0,2007,9603.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,161,Rutherford County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013400,37,NC,North Carolina,45700,148,2563,860,12.109999656677246,2237,,100.04000091552734
6,Loan purchased by the institution,7,HUD,Department of Housing and Urban Development,4,Not applicable,35,7,,,,,Not applicable,,,,,4,Not applicable,2,2007,0517.00,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,3,VA-guaranteed,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),3027509990,0013380,37,NC,North Carolina,45700,98,2842,2207,13.970000267028809,7430,,103.31999969482422
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",90,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2007,0517.00,3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",159,Rowan County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,1,Preapproval was requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013376,37,NC,North Carolina,45700,200,2842,2207,13.970000267028809,7430,,103.31999969482422
2,Application approved but not accepted,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,110,3,,,,,Black or African American,,,,,1,Male,0,2007,9708.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,163,Sampson County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013415,37,NC,North Carolina,45700,163,2618,1677,49.650001525878906,6637,,84.44999694824219
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,38,5,,,,,White,,,,,2,Female,0,2007,9602.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,161,Rutherford County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013397,37,NC,North Carolina,45700,180,2684,2101,10.449999809265137,6327,,90.61000061035156
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,24,5,,,,,White,,,,,2,Female,0,2007,0101.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,165,Scotland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013429,37,NC,North Carolina,45700,97,3162,2175,30.200000762939453,8361,,127.6500015258789
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",45,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2007,9605.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,161,Rutherford County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013402,37,NC,North Carolina,45700,151,2969,2012,16.049999237060547,7521,,111.16000366210938
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",19,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2007,0519.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,1,Fannie Mae (FNMA),3027509990,0013382,37,NC,North Carolina,45700,80,2445,1854,25.68000030517578,6321,03.07,116.20999908447266
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,46,5,,,,,White,,,,,1,Male,0,2007,9601.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,161,Rutherford County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,1,Preapproval was requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013393,37,NC,North Carolina,45700,105,2524,1905,3.75,5968,,95.37000274658203
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,11,5,,,,,White,,,,,2,Female,0,2007,9710.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,163,Sampson County,5,,,"Insufficient cash (downpayment, closing costs)",,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013420,37,NC,North Carolina,45700,38,2265,1525,64.2699966430664,5477,,89.62999725341797
2,Application approved but not accepted,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,15,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,1,Male,0,2007,9704.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,163,Sampson County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013409,37,NC,North Carolina,45700,19,2304,1621,29.649999618530273,5288,,84.37000274658203
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,28,5,,,,,White,,,,,1,Male,0,2007,0102.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,165,Scotland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013432,37,NC,North Carolina,45700,33,1857,944,78.05999755859375,4703,,60.70000076293945
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,14,5,,,,,White,,,,,1,Male,0,2007,9605.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,161,Rutherford County,1,4,,Debt-to-income ratio,Collateral,,,,2,Not a HOEPA loan,1,Secured by a first lien,2,Home improvement,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013403,37,NC,North Carolina,45700,85,2969,2012,16.049999237060547,7521,,111.16000366210938
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,45,5,,,,,White,,,,,2,Female,0,2007,0519.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,159,Rowan County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013392,37,NC,North Carolina,45700,133,1673,1342,14.649999618530273,4267,,115.81999969482422
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",38,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2007,9607.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,161,Rutherford County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013405,37,NC,North Carolina,45700,49,1957,1317,25.010000228881836,4590,04.15,92.23999786376953
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",50,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,1,Male,0,2007,0101.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,165,Scotland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,2,Not owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013421,37,NC,North Carolina,45700,115,3162,2175,30.200000762939453,8361,03.44,127.6500015258789
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,61,3,,,,,Black or African American,,,,,2,Female,0,2007,0102.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,165,Scotland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013433,37,NC,North Carolina,45700,45,1857,944,78.05999755859375,4703,03.66,60.70000076293945
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,32,5,,,,,White,,,,,1,Male,0,2007,9905.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,171,Surry County,3,,,Credit history,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,,,1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013474,37,NC,North Carolina,45700,88,2770,2043,11.670000076293945,6726,,92.77999877929688
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,73,3,,,,,Black or African American,,,,,1,Male,0,2007,9708.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,163,Sampson County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013412,37,NC,North Carolina,45700,32,2618,1677,49.650001525878906,6637,,84.44999694824219
