action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,applicant_race_name_1,applicant_race_name_2,applicant_race_name_3,applicant_race_name_4,applicant_race_name_5,applicant_sex,applicant_sex_name,application_date_indicator,as_of_year,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,co_applicant_race_name_1,co_applicant_race_name_2,co_applicant_race_name_3,co_applicant_race_name_4,co_applicant_race_name_5,co_applicant_sex,co_applicant_sex_name,county_code,county_name,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_name_1,denial_reason_name_2,denial_reason_name_3,edit_status,edit_status_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,msamd,msamd_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,respondent_id,sequence_number,state_code,state_abbr,state_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,rate_spread,tract_to_msamd_income
1,Loan originated,7,HUD,Department of Housing and Urban Development,1,Hispanic or Latino,35,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,1,Male,0,2007,9703.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,163,Sampson County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,1,Fannie Mae (FNMA),3027509990,0013407,37,NC,North Carolina,45700,45,4259,3123,26.65999984741211,10662,03.19,99.04000091552734
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,18,5,,,,,White,,,,,2,Female,0,2007,9704.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,163,Sampson County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,1,Fannie Mae (FNMA),3027509990,0013408,37,NC,North Carolina,45700,19,2304,1621,29.649999618530273,5288,04.87,84.37000274658203
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",55,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2007,0101.00,3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",165,Scotland County,,,,,,,,,2,Not a HOEPA loan,2,Secured by a subordinate lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013422,37,NC,North Carolina,45700,23,3162,2175,30.200000762939453,8361,,127.6500015258789
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",21,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2007,0103.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,165,Scotland County,3,,,Credit history,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013437,37,NC,North Carolina,45700,36,1805,935,56.959999084472656,4686,,68.33999633789062
6,Loan purchased by the institution,7,HUD,Department of Housing and Urban Development,4,Not applicable,63,7,,,,,Not applicable,,,,,4,Not applicable,2,2007,9905.00,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,171,Surry County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013475,37,NC,North Carolina,45700,120,2770,2043,11.670000076293945,6726,,92.77999877929688
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,41,5,,,,,White,,,,,1,Male,0,2007,9708.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,163,Sampson County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,1,Fannie Mae (FNMA),3027509990,0013414,37,NC,North Carolina,45700,50,2618,1677,49.650001525878906,6637,,84.44999694824219
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",59,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2007,0101.00,3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",165,Scotland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),3027509990,0013430,37,NC,North Carolina,45700,89,3162,2175,30.200000762939453,8361,,127.6500015258789
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,75,5,,,,,White,,,,,1,Male,0,2007,0101.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,165,Scotland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013428,37,NC,North Carolina,45700,104,3162,2175,30.200000762939453,8361,,127.6500015258789
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,48,5,,,,,White,,,,,1,Male,0,2007,0101.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,165,Scotland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013427,37,NC,North Carolina,45700,110,3162,2175,30.200000762939453,8361,,127.6500015258789
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,61,5,,,,,White,,,,,2,Female,0,2007,9902.00,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,167,Stanly County,,,,,,,,,2,Not a HOEPA loan,2,Secured by a subordinate lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013446,37,NC,North Carolina,45700,11,1495,1025,27.440000534057617,4034,,95.69000244140625
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,38,5,,,,,White,,,,,1,Male,0,2007,9909.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,171,Surry County,3,,,Credit history,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013481,37,NC,North Carolina,45700,52,2497,1738,15.989999771118164,6328,,107.27999877929688
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,25,3,,,,,Black or African American,,,,,2,Female,0,2007,9708.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,163,Sampson County,3,,,Credit history,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013417,37,NC,North Carolina,45700,47,2618,1677,49.650001525878906,6637,,84.44999694824219
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",45,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2007,0103.00,3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",165,Scotland County,4,,,Collateral,,,,,2,Not a HOEPA loan,1,Secured by a first lien,2,Home improvement,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013438,37,NC,North Carolina,45700,49,1805,935,56.959999084472656,4686,,68.33999633789062
2,Application approved but not accepted,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,19,5,,,,,White,,,,,1,Male,0,2007,0103.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,165,Scotland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013436,37,NC,North Carolina,45700,30,1805,935,56.959999084472656,4686,,68.33999633789062
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,50,5,,,,,White,,,,,2,Female,0,2007,0105.00,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,165,Scotland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,1,Preapproval was requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013440,37,NC,North Carolina,45700,95,3067,2122,38.75,7561,,91.87999725341797
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,33,5,,,,,White,,,,,2,Female,0,2007,9903.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,171,Surry County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013472,37,NC,North Carolina,45700,76,2461,1688,19.440000534057617,5639,,118.2300033569336
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",168,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2007,9603.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,173,Swain County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),3027509990,0013488,37,NC,North Carolina,45700,193,3566,1811,11.220000267028809,5562,,87.12999725341797
6,Loan purchased by the institution,7,HUD,Department of Housing and Urban Development,4,Not applicable,39,7,,,,,Not applicable,,,,,4,Not applicable,2,2007,0101.00,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,165,Scotland County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013431,37,NC,North Carolina,45700,86,3162,2175,30.200000762939453,8361,,127.6500015258789
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,23,5,,,,,White,,,,,1,Male,0,2007,9905.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,167,Stanly County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),3027509990,0013460,37,NC,North Carolina,45700,96,1530,939,14.899999618530273,3577,03.29,94.41000366210938
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,48,5,,,,,White,,,,,1,Male,0,2007,0105.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,165,Scotland County,3,,,Credit history,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013441,37,NC,North Carolina,45700,54,3067,2122,38.75,7561,,91.87999725341797
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,32,3,,,,,Black or African American,,,,,1,Male,0,2007,0106.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,165,Scotland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,2,Ginnie Mae (GNMA),3027509990,0013443,37,NC,North Carolina,45700,55,3044,2214,56.790000915527344,7540,03.04,98.31999969482422
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",43,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",0,2007,9604.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,175,Transylvania County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013493,37,NC,North Carolina,45700,215,4228,2824,2.359999895095825,7200,,124.33999633789062
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,40,5,,,,,White,,,,,1,Male,0,2007,9603.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,173,Swain County,1,,,Debt-to-income ratio,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,2,Not owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013489,37,NC,North Carolina,45700,78,3566,1811,11.220000267028809,5562,,87.12999725341797
2,Application approved but not accepted,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,82,5,,,,,White,,,,,2,Female,0,2007,0104.00,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,165,Scotland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013439,37,NC,North Carolina,45700,172,1120,871,48.400001525878906,3147,,124.33999633789062
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,64,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,2,Female,0,2007,9901.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,171,Surry County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,1,Fannie Mae (FNMA),3027509990,0013471,37,NC,North Carolina,45700,115,2724,2039,6.989999771118164,6305,,97.73999786376953
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,49,5,,,,,White,,,,,1,Male,0,2007,0106.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,165,Scotland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013442,37,NC,North Carolina,45700,118,3044,2214,56.790000915527344,7540,03.74,98.31999969482422
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,83,5,,,,,White,,,,,1,Male,0,2007,9902.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,167,Stanly County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),3027509990,0013447,37,NC,North Carolina,45700,218,1495,1025,27.440000534057617,4034,,95.69000244140625
2,Application approved but not accepted,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,73,3,,,,,Black or African American,,,,,2,Female,0,2007,9501.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,187,Washington County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,3027509990,0013512,37,NC,North Carolina,45700,60,2476,1647,52.09000015258789,5379,,85.7699966430664
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",39,5,,,,,White,,,,,2,Female,0,2007,9603.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,181,Vance County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013497,37,NC,North Carolina,45700,176,1984,1463,40.40999984741211,4811,,113.55000305175781
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,61,5,,,,,White,,,,,2,Female,0,2007,9902.00,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,167,Stanly County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013445,37,NC,North Carolina,45700,102,1495,1025,27.440000534057617,4034,,95.69000244140625
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,39,5,,,,,White,,,,,1,Male,0,2007,9908.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,171,Surry County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,2,Manufactured housing,1,Fannie Mae (FNMA),3027509990,0013479,37,NC,North Carolina,45700,67,3335,2561,4.800000190734863,7544,,94.5999984741211
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,49,2,,,,,Asian,,,,,1,Male,0,2007,9901.00,2,Not Hispanic or Latino,2,,,,,Asian,,,,,2,Female,167,Stanly County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013444,37,NC,North Carolina,45700,90,3126,2305,14.510000228881836,7745,,111.77999877929688
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,36,5,,,,,White,,,,,1,Male,0,2007,9903.00,2,Not Hispanic or Latino,1,5,,,,American Indian or Alaska Native,White,,,,2,Female,167,Stanly County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013450,37,NC,North Carolina,45700,88,1482,1168,12.479999542236328,3902,,122.88999938964844
6,Loan purchased by the institution,7,HUD,Department of Housing and Urban Development,4,Not applicable,22,7,,,,,Not applicable,,,,,4,Not applicable,2,2007,9502.00,4,Not applicable,7,,,,,Not applicable,,,,,4,Not applicable,187,Washington County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,2,FHA-insured,,,1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,2,Ginnie Mae (GNMA),3027509990,0013514,37,NC,North Carolina,45700,67,2838,1729,57.91999816894531,6732,,83.41000366210938
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,57,5,,,,,White,,,,,1,Male,0,2007,9604.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,181,Vance County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,1,Owner-occupied as a principal dwelling,1,Preapproval was requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),3027509990,0013500,37,NC,North Carolina,45700,112,1477,1137,19.8799991607666,3763,,154.30999755859375
